task_id	mode	reason
T-202-ship-the-lightweight-sdd-handoff-skill	run	-
T-216-ship-digest-bound-existing-task-review	run	-
T-170-add-deterministic-autonomous-loop-preflight-and	run	-
T-308-publish-deterministic-loop-selection-and-dry-run	run	-
T-171-contain-and-pin-autonomous-loop-child-processes	run	-
T-309-launch-loop-children-with-exact-prompt-transport	run	-
T-243-contain-autonomous-loop-process-trees	run	-
T-310-contain-loop-process-trees-on-windows	run	-
T-311-integrate-portable-loop-process-containment	run	-
T-172-enforce-autonomous-loop-lifecycle-and-delivery	run	-
T-312-enforce-frozen-input-and-ledger-mutation-integrity	run	-
T-313-validate-committed-and-local-loop-delivery-shapes	run	-
T-314-integrate-loop-continuation-and-terminal	run	-
T-244-publish-streamed-loop-results-out-of-band	run	-
T-245-cover-the-complete-implicit-local-bootstrap-matrix	run	-
T-291-prove-inherited-command-parity-in-local-storage	run	-
T-254-make-every-packaged-skill-storage-neutral	run	-
T-218-add-maintainer-skill-release-evaluations	run	-
T-307-run-paired-maintainer-skill-evaluations	run	-
T-249-allow-explicit-skill-evaluation-release-waivers	run	-
T-225-prove-local-autonomous-delivery-across-git	run	-
T-258-retire-the-temporary-source-checkout-autonomous	hold-self-removal	Remove this complete directory after product loop delivery is proven
T-224-promote-local-taskrail-state-into-committed	run	-
T-315-promote-local-packaged-skills-with-explicit	run	-
T-246-classify-every-v0-5-writer-transaction-and	run	-
T-167-add-active-spec-scoped-statistics	run	-
T-256-retire-bootstrap-planning-reviews	hold-operator	Requires deliberate bootstrap-evidence disposition
T-173-check-cross-surface-workflow-contract-integrity	run	-
T-248-run-cross-platform-workflow-contract-tests-in-ci	run	-
T-174-run-the-v0-5-0-gap-and-drift-release-gate	hold-operator	Maintainer-owned final release gate
T-316-harden-temporary-autonomous-loop-timeout-and	hold-operator	Operator-owned temporary loop timeout and recovery hardening
